"a."
"a.a."
"aamw.vnw."
"aanb."
"aand."
"aanget."
"aanh."
"aanm."
"aant."
"aanw."
"aardr."
"a.asb."
"a.b."
"abl."
"abs."
"abstr."
"a.d."
"ad."
"adb."
"ad if."
"adj."
"adj.dir."
"adj.min."
"adjt."
"ad lib."
"ad loc."
"adm."
"admin."
"adv."
"ad val."
"afb."
"afd."
"aff."
"afh."
"afk."
"afl."
"Afr."
"afs."
"agb."
"antw."
"Apr."
"asb."
"Aug."
"b."
"B.Com."
"B.Com.Hons."
"B.Compt."
"B.Cur."
"b.d."
"bd."
"B.D."
"bde."
"B.Diac."
"bdr."
"B.Econ."
"B.Econ.Sc."
"B.Ed."
"B.Ed.Ph."
"bedr."
"beeldh."
"beh."
"Belg."
"bep."
"bep.lw."
"Ber.Ps."
"bes."
"besk."
"best."
"bes.vnw."
"bet."
"betr."
"betr.vnw."
"bev."
"bew."
"Bfn."
"b.g."
"bg."
"B.Huish."
"bibl."
"B.Ing."
"biochem."
"biofis."
"biol."
"B.Iur."
"B.Jur."
"b.k."
"bk."
"b.kw."
"bl."
"B.L.C."
"B.Litt."
"bls."
"B.M."
"B.Mil."
"bmn."
"B.Mus."
"b.n."
"bn."
"b.nw."
"b.&o."
"b.o."
"bod."
"boekb."
"boekdr."
"boekh."
"Bop."
"B.Optom."
"bosb."
"bot."
"Bot."
"bouk."
"bourek."
"B.Paed."
"B.Pharm."
"B.Phil."
"Bpk."
"B.Prim.Ed."
"B.Proc."
"br."
"Br."
"Brab."
"B.Rad."
"Bras."
"brig."
"brig.genl."
"Brit."
"bro."
"b.s."
"bs."
"B.Sc."
"B.Sc.Agric."
"B.Sc.Agric.Hons."
"B.Sec.Ed."
"B.S. en S."
"B.Soc.Sc."
"bst."
"bt."
"Bt."
"B.Th."
"B.Theol."
"burg."
"bv."
"b.v.p."
"B.V.Sc."
"bw."
"Byb."
"byg."
"byl."
"byskr."
"byv."
"byw."
"c."
"ca."
"cad."
"cap."
"cet.par."
"cf."
"Ch.B."
"chem."
"Chin."
